Record Length,10000,Points,-164.60000188E-6,6.20000029,,Record Length,10000,Points,-164.60000188E-6,659.999966621E-3,,Record Length,10000,Points,-164.60000188E-6,-2.6399999,
Sample Interval,39.99999976E-9,s,-164.55999867E-6,6.20000029,,Sample Interval,39.99999976E-9,s,-164.55999867E-6,680.000007153E-3,,Sample Interval,39.99999976E-9,s,-164.55999867E-6,-2.4800000,
Trigger Point,4.11500027E3,Samples,-164.51999545E-6,6.20000029,,Trigger Point,4.11500027E3,Samples,-164.51999545E-6,680.000007153E-3,,Trigger Point,4.11500027E3,Samples,-164.51999545E-6,-2.6399999,
,,,-164.48000679E-6,6.00000000,,,,,-164.48000679E-6,659.999966621E-3,,,,,-164.48000679E-6,-2.6399999,
,,,-164.44000357E-6,6.00000000,,,,,-164.44000357E-6,680.000007153E-3,,,,,-164.44000357E-6,-2.5599999,
,,,-164.40000036E-6,5.80000019,,,,,-164.40000036E-6,659.999966621E-3,,,,,-164.40000036E-6,-2.6399999,
Source,CH1,,-164.35999714E-6,5.59999990,,Source,CH2,,-164.35999714E-6,680.000007153E-3,,Source,CH3,,-164.35999714E-6,-2.6399999,
Vertical Units,V,,-164.32000848E-6,5.80000019,,Vertical Units,V,,-164.32000848E-6,659.999966621E-3,,Vertical Units,V,,-164.32000848E-6,-2.5599999,
Vertical Scale,5.00000007,,-164.28000527E-6,5.20000029,,Vertical Scale,499.999988824E-3,,-164.28000527E-6,659.999966621E-3,,Vertical Scale,2.0000000,,-164.28000527E-6,-2.5599999,
Vertical Offset,0,,-164.24000205E-6,5.20000029,,Vertical Offset,0,,-164.24000205E-6,680.000007153E-3,,Vertical Offset,0,,-164.24000205E-6,-2.5599999,
Horizontal Units,s,,-164.19999884E-6,5.00000000,,Horizontal Units,s,,-164.19999884E-6,680.000007153E-3,,Horizontal Units,s,,-164.19999884E-6,-2.5599999,
Horizontal Scale,39.99999976E-6,,-164.15999562E-6,5.00000000,,Horizontal Scale,39.99999976E-6,,-164.15999562E-6,680.000007153E-3,,Horizontal Scale,39.99999976E-6,,-164.15999562E-6,-2.6399999,
Pt Fmt,Y,,-164.12000696E-6,5.20000029,,Pt Fmt,Y,,-164.12000696E-6,659.999966621E-3,,Pt Fmt,Y,,-164.12000696E-6,-2.5599999,
Yzero,240.00000000E-3,,-164.08000374E-6,5.00000000,,Yzero,0.0,,-164.08000374E-6,699.999988079E-3,,Yzero,0.0,,-164.08000374E-6,-2.5599999,
Probe Atten,1.000000,,-164.04000053E-6,4.80000019,,Probe Atten,1.000000,,-164.04000053E-6,680.000007153E-3,,Probe Atten,1.000000,,-164.04000053E-6,-2.6399999,
,,,-163.99999731E-6,4.59999990,,,,,-163.99999731E-6,699.999988079E-3,,,,,-163.99999731E-6,-2.5599999,
Note,TDS 3014C - 14:51:49   30.01.2023,,-163.96000865E-6,4.40000010,,Note,TDS 3014C - 14:51:49   30.01.2023,,-163.96000865E-6,680.000007153E-3,,Note,TDS 3014C - 14:51:49   30.01.2023,,-163.96000865E-6,-2.5599999,
,,,-163.92000543E-6,4.40000010,,,,,-163.92000543E-6,680.000007153E-3,,,,,-163.92000543E-6,-2.5599999,
,,,-163.88000222E-6,4.20000029,,,,,-163.88000222E-6,719.999969006E-3,,,,,-163.88000222E-6,-2.4800000,
,,,-163.83999900E-6,4.00000000,,,,,-163.83999900E-6,699.999988079E-3,,,,,-163.83999900E-6,-1.0400000,
,,,-163.79999579E-6,3.79999995,,,,,-163.79999579E-6,699.999988079E-3,,,,,-163.79999579E-6,319.99999285E-3,
,,,-163.76000713E-6,3.60000014,,,,,-163.76000713E-6,699.999988079E-3,,,,,-163.76000713E-6,1.6799999,
,,,-163.72000391E-6,3.60000014,,,,,-163.72000391E-6,699.999988079E-3,,,,,-163.72000391E-6,2.3999999,
,,,-163.68000070E-6,3.60000014,,,,,-163.68000070E-6,699.999988079E-3,,,,,-163.68000070E-6,1.6799999,
,,,-163.63999748E-6,3.20000005,,,,,-163.63999748E-6,699.999988079E-3,,,,,-163.63999748E-6,239.99999464E-3,
,,,-163.60000882E-6,3.20000005,,,,,-163.60000882E-6,719.999969006E-3,,,,,-163.60000882E-6,-1.1999999,
,,,-163.56000560E-6,3.00000000,,,,,-163.56000560E-6,699.999988079E-3,,,,,-163.56000560E-6,-2.5599999,
,,,-163.52000239E-6,3.20000005,,,,,-163.52000239E-6,699.999988079E-3,,,,,-163.52000239E-6,-2.72000003,
,,,-163.47999917E-6,3.20000005,,,,,-163.47999917E-6,699.999988079E-3,,,,,-163.47999917E-6,-2.6399999,
,,,-163.43999596E-6,3.00000000,,,,,-163.43999596E-6,680.000007153E-3,,,,,-163.43999596E-6,-2.5599999,
,,,-163.40000730E-6,2.79999995,,,,,-163.40000730E-6,719.999969006E-3,,,,,-163.40000730E-6,-2.6399999,
,,,-163.36000408E-6,2.79999995,,,,,-163.36000408E-6,699.999988079E-3,,,,,-163.36000408E-6,-2.5599999,
,,,-163.32000087E-6,2.6000001,,,,,-163.32000087E-6,719.999969006E-3,,,,,-163.32000087E-6,-2.5599999,
,,,-163.27999765E-6,2.4000001,,,,,-163.27999765E-6,699.999988079E-3,,,,,-163.27999765E-6,-2.6399999,
,,,-163.24000899E-6,2.2000000,,,,,-163.24000899E-6,719.999969006E-3,,,,,-163.24000899E-6,-2.5599999,
,,,-163.20000577E-6,2.0000000,,,,,-163.20000577E-6,699.999988079E-3,,,,,-163.20000577E-6,-2.6399999,
,,,-163.16000256E-6,1.8000001,,,,,-163.16000256E-6,699.999988079E-3,,,,,-163.16000256E-6,-2.6399999,
,,,-163.11999934E-6,2.0000000,,,,,-163.11999934E-6,699.999988079E-3,,,,,-163.11999934E-6,-2.5599999,
,,,-163.07999613E-6,1.6000000,,,,,-163.07999613E-6,699.999988079E-3,,,,,-163.07999613E-6,-2.6399999,
,,,-163.04000746E-6,1.6000000,,,,,-163.04000746E-6,699.999988079E-3,,,,,-163.04000746E-6,-2.5599999,
,,,-163.00000425E-6,1.4000000,,,,,-163.00000425E-6,719.999969006E-3,,,,,-163.00000425E-6,-2.5599999,
,,,-162.96000103E-6,1.4000000,,,,,-162.96000103E-6,719.999969006E-3,,,,,-162.96000103E-6,-2.6399999,
,,,-162.91999782E-6,1.2000000,,,,,-162.91999782E-6,699.999988079E-3,,,,,-162.91999782E-6,-2.6399999,
,,,-162.88000916E-6,1.2000000,,,,,-162.88000916E-6,699.999988079E-3,,,,,-162.88000916E-6,-2.4800000,
,,,-162.84000594E-6,1.000000,,,,,-162.84000594E-6,719.999969006E-3,,,,,-162.84000594E-6,-2.5599999,
,,,-162.80000273E-6,600.000023842E-3,,,,,-162.80000273E-6,699.999988079E-3,,,,,-162.80000273E-6,-2.6399999,
,,,-162.75999951E-6,800.000011921E-3,,,,,-162.75999951E-6,699.999988079E-3,,,,,-162.75999951E-6,-2.5599999,
,,,-162.71999630E-6,600.000023842E-3,,,,,-162.71999630E-6,699.999988079E-3,,,,,-162.71999630E-6,-2.5599999,
,,,-162.68000763E-6,200.00000298E-3,,,,,-162.68000763E-6,719.999969006E-3,,,,,-162.68000763E-6,-2.5599999,
,,,-162.64000442E-6,200.00000298E-3,,,,,-162.64000442E-6,680.000007153E-3,,,,,-162.64000442E-6,-2.5599999,
,,,-162.60000120E-6,-200.00000298E-3,,,,,-162.60000120E-6,699.999988079E-3,,,,,-162.60000120E-6,-2.5599999,
,,,-162.55999799E-6,0.0,,,,,-162.55999799E-6,699.999988079E-3,,,,,-162.55999799E-6,-2.5599999,
,,,-162.51999477E-6,-200.00000298E-3,,,,,-162.51999477E-6,699.999988079E-3,,,,,-162.51999477E-6,-2.5599999,
,,,-162.48000611E-6,-400.00000596E-3,,,,,-162.48000611E-6,680.000007153E-3,,,,,-162.48000611E-6,-2.5599999,
,,,-162.44000290E-6,-400.00000596E-3,,,,,-162.44000290E-6,699.999988079E-3,,,,,-162.44000290E-6,-2.5599999,
,,,-162.39999968E-6,-600.000023842E-3,,,,,-162.39999968E-6,680.000007153E-3,,,,,-162.39999968E-6,-2.5599999,
,,,-162.35999647E-6,-600.000023842E-3,,,,,-162.35999647E-6,699.999988079E-3,,,,,-162.35999647E-6,-2.5599999,
,,,-162.32000780E-6,-600.000023842E-3,,,,,-162.32000780E-6,680.000007153E-3,,,,,-162.32000780E-6,-2.5599999,
,,,-162.28000459E-6,-800.000011921E-3,,,,,-162.28000459E-6,699.999988079E-3,,,,,-162.28000459E-6,-2.6399999,
,,,-162.24000137E-6,-1.2000000,,,,,-162.24000137E-6,680.000007153E-3,,,,,-162.24000137E-6,-2.5599999,
,,,-162.19999816E-6,-1.2000000,,,,,-162.19999816E-6,659.999966621E-3,,,,,-162.19999816E-6,-2.6399999,
,,,-162.15999494E-6,-1.4000000,,,,,-162.15999494E-6,699.999988079E-3,,,,,-162.15999494E-6,-2.5599999,
,,,-162.12000628E-6,-1.2000000,,,,,-162.12000628E-6,680.000007153E-3,,,,,-162.12000628E-6,-2.4800000,
,,,-162.08000307E-6,-1.6000000,,,,,-162.08000307E-6,680.000007153E-3,,,,,-162.08000307E-6,-2.5599999,
,,,-162.03999985E-6,-1.6000000,,,,,-162.03999985E-6,659.999966621E-3,,,,,-162.03999985E-6,-2.5599999,
,,,-161.99999664E-6,-2.0000000,,,,,-161.99999664E-6,680.000007153E-3,,,,,-161.99999664E-6,-2.5599999,
,,,-161.96000797E-6,-2.0000000,,,,,-161.96000797E-6,659.999966621E-3,,,,,-161.96000797E-6,-2.5599999,
,,,-161.92000476E-6,-2.4000001,,,,,-161.92000476E-6,659.999966621E-3,,,,,-161.92000476E-6,-2.5599999,
,,,-161.88000154E-6,-2.0000000,,,,,-161.88000154E-6,659.999966621E-3,,,,,-161.88000154E-6,-2.5599999,
,,,-161.83999833E-6,-2.4000001,,,,,-161.83999833E-6,659.999966621E-3,,,,,-161.83999833E-6,-2.4800000,
,,,-161.79999511E-6,-2.6000001,,,,,-161.79999511E-6,659.999966621E-3,,,,,-161.79999511E-6,-2.5599999,
,,,-161.76000645E-6,-2.6000001,,,,,-161.76000645E-6,639.999985695E-3,,,,,-161.76000645E-6,-2.5599999,
