% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-4.459871E-7
-14.994000	-6.067567E-7
-14.988000	-4.037283E-7
-14.982000	-3.614696E-7
-14.976000	-3.910391E-7
-14.970000	-5.052425E-7
-14.964000	-1.330627E-7
-14.958000	-2.599554E-7
-14.952000	-3.444729E-7
-14.946000	-3.656605E-7
-14.940000	-2.472661E-7
-14.934000	-2.853340E-7
-14.928000	-2.599554E-7
-14.922000	-2.726447E-7
-14.916000	-4.798640E-7
-14.910000	-6.194459E-7
-14.904000	-3.783498E-7
-14.898000	-2.302695E-7
-14.892000	-4.501780E-7
-14.886000	-5.221227E-7
-14.880000	-1.330627E-7
-14.874000	-2.726447E-7
-14.868000	-3.234018E-7
-14.862000	-3.656605E-7
-14.856000	-3.952300E-7
-14.850000	-2.641464E-7
-14.844000	-1.965091E-7
-14.838000	-3.360910E-7
-14.832000	-2.599554E-7
-14.826000	-4.671747E-7
-14.820000	-4.628673E-7
-14.814000	-2.387678E-7
-14.808000	-4.079193E-7
-14.802000	-4.925532E-7
-14.796000	-4.079193E-7
-14.790000	-3.656605E-7
-14.784000	-3.741588E-7
-14.778000	-2.260786E-7
-14.772000	-2.345769E-7
-14.766000	-3.993046E-8
-14.760000	-3.952300E-7
-14.754000	-2.345769E-7
-14.748000	-2.472661E-7
-14.742000	-3.571622E-7
-14.736000	-5.052425E-7
-14.730000	-3.529713E-7
-14.724000	-5.433103E-7
-14.718000	-2.472661E-7
-14.712000	-3.698515E-7
-14.706000	-3.952300E-7
-14.700000	-4.798640E-7
-14.694000	-3.783498E-7
-14.688000	-2.091983E-7
-14.682000	-2.302695E-7
-14.676000	-3.402820E-7
-14.670000	-1.584413E-7
-14.664000	-2.260786E-7
-14.658000	-4.206086E-7
-14.652000	-3.275927E-7
-14.645500	-3.487803E-7
-14.639500	-3.741588E-7
-14.633500	-4.798640E-7
-14.627500	-4.713656E-7
-14.621500	-4.671747E-7
-14.615500	-4.206086E-7
-14.609500	-3.910391E-7
-14.603500	-2.345769E-7
-14.597500	-2.641464E-7
-14.591500	-2.345769E-7
-14.585500	-1.541339E-7
-14.579500	-2.260786E-7
-14.573500	-1.245644E-7
-14.567500	-2.980232E-7
-14.561500	-3.234018E-7
-14.555500	-3.698515E-7
-14.549500	-3.614696E-7
-14.543500	-5.728798E-7
-14.537500	-4.501780E-7
-14.531500	-4.628673E-7
-14.525500	-2.133893E-7
-14.519500	-3.656605E-7
-14.513500	-3.571622E-7
-14.507500	-2.599554E-7
-14.501500	-2.218876E-7
-14.495500	-3.107125E-7
-14.489500	-3.910391E-7
-14.483500	-3.360910E-7
-14.477500	-3.064051E-7
-14.471500	-3.275927E-7
-14.465500	-3.234018E-7
-14.459500	-5.559996E-7
-14.453500	-4.206086E-7
-14.447500	-4.967442E-7
-14.441500	-6.955815E-7
-14.435500	-6.617047E-7
-14.429500	-3.149034E-7
-14.423500	-4.798640E-7
-14.417500	-1.033768E-7
-14.411500	-2.683373E-7
-14.405500	-1.838198E-7
-14.399500	-3.529713E-7
-14.393500	-2.260786E-7
-14.387500	-2.218876E-7
-14.381500	-3.234018E-7
-14.375500	-3.783498E-7
-14.369500	-3.234018E-7
-14.363500	-4.882459E-7
-14.357500	-4.459871E-7
-14.351500	-2.260786E-7
-14.345500	-3.952300E-7
-14.339500	-3.783498E-7
-14.333500	-3.741588E-7
-14.327500	-3.571622E-7
-14.321500	-2.472661E-7
-14.315500	-3.360910E-7
-14.309500	-2.683373E-7
-14.303500	-2.895249E-7
-14.297500	-2.556480E-7
-14.291500	-2.556480E-7
-14.285500	-1.330627E-7
-14.279500	-5.475013E-7
-14.273500	-4.459871E-7
-14.267500	-4.374888E-7
-14.261500	-5.433103E-7
-14.255500	-5.516922E-7
-14.249500	-3.571622E-7
-14.243500	-3.952300E-7
-14.237500	-8.649658E-8
-14.231500	-3.107125E-7
-14.225500	-1.584413E-7
-14.219500	-1.626322E-7
-14.213500	-3.487803E-7
-14.207500	-1.838198E-7
-14.201500	-3.107125E-7
-14.195500	-2.726447E-7
-14.189500	-2.007000E-7
-14.183500	-4.628673E-7
-14.177500	-4.291069E-7
-14.171500	-4.501780E-7
-14.165500	-5.433103E-7
-14.159500	-5.390029E-7
-14.153500	-3.022142E-7
-14.147500	-2.726447E-7
-14.141500	-2.514571E-7
-14.135500	-3.867317E-7
-14.129500	-1.584413E-7
-14.123500	-1.668232E-7
-14.117500	-2.091983E-7
-14.111500	-3.107125E-7
-14.105500	-3.190944E-7
-14.099500	-3.234018E-7
-14.093500	-2.429588E-7
-14.087500	-4.417961E-7
-14.081500	-3.910391E-7
-14.075500	-3.867317E-7
-14.069500	-6.785849E-7
-14.063500	-1.372537E-7
-14.057500	-2.726447E-7
-14.051500	-2.007000E-7
-14.045500	-2.641464E-7
-14.039500	-3.741588E-7
-14.033500	-3.402820E-7
-14.027500	-1.414446E-7
-14.021500	-2.683373E-7
-14.015500	-2.683373E-7
-14.009500	-3.234018E-7
-14.003500	-3.698515E-7
-13.997500	-5.475013E-7
-13.991500	-3.614696E-7
-13.985500	-5.475013E-7
-13.979500	-2.048910E-7
-13.973500	-2.810266E-7
-13.967500	-2.768356E-7
-13.961500	-2.599554E-7
-13.955500	-2.091983E-7
-13.949000	-2.599554E-7
-13.943000	-2.260786E-7
-13.937000	-2.007000E-7
-13.931000	-2.514571E-7
-13.925000	-4.459871E-7
-13.919000	-4.713656E-7
-13.913000	-4.079193E-7
-13.907000	-3.698515E-7
-13.901000	-4.586764E-7
-13.895000	-4.332978E-7
-13.889000	-4.121102E-7
-13.883000	-3.317837E-7
-13.877000	-2.429588E-7
-13.871000	-3.360910E-7
-13.865000	-2.133893E-7
-13.859000	-2.260786E-7
-13.853000	-2.345769E-7
-13.847000	-1.626322E-7
-13.841000	-4.628673E-7
-13.835000	-4.882459E-7
-13.829000	-2.726447E-7
-13.823000	-3.360910E-7
-13.817000	-4.798640E-7
-13.811000	-3.614696E-7
-13.805000	-4.713656E-7
-13.799000	-3.529713E-7
-13.793000	-3.022142E-7
-13.787000	-3.571622E-7
-13.781000	-4.332978E-7
