% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-8.230563E-8
-14.994000	-2.050074E-7
-14.988000	-4.671747E-7
-14.982000	-5.222391E-7
-14.976000	-3.192108E-7
-14.970000	-5.391194E-7
-14.964000	-2.811430E-7
-14.958000	-6.660121E-7
-14.952000	-5.813781E-7
-14.946000	-2.260786E-7
-14.940000	-1.711305E-7
-14.934000	-1.711305E-7
-14.928000	-2.514571E-7
-14.922000	-2.853340E-7
-14.916000	-2.599554E-7
-14.910000	-2.811430E-7
-14.904000	-2.557645E-7
-14.898000	-3.192108E-7
-14.892000	-5.010515E-7
-14.886000	-3.741588E-7
-14.880000	-3.445894E-7
-14.874000	-3.319001E-7
-14.868000	-4.629837E-7
-14.862000	-5.010515E-7
-14.856000	-4.334142E-7
-14.850000	-3.154855E-8
-14.844000	-1.584413E-7
-14.838000	-1.711305E-7
-14.832000	-2.091983E-7
-14.826000	6.519258E-9
-14.820000	-1.246808E-7
-14.814000	-8.230563E-8
-14.808000	-4.883623E-7
-14.802000	-5.433103E-7
-14.796000	-4.164176E-7
-14.790000	-4.080357E-7
-14.784000	-3.275927E-7
-14.778000	-4.037283E-7
-14.772000	-3.572786E-7
-14.766000	-1.965091E-7
-14.760000	-1.754379E-7
-14.754000	-1.034932E-7
-14.748000	-2.641464E-7
-14.742000	-2.853340E-7
-14.736000	-2.641464E-7
-14.730000	-2.050074E-7
-14.724000	-4.854519E-8
-14.718000	-3.614696E-7
-14.712000	-3.995374E-7
-14.706000	-3.149034E-7
-14.700000	-3.275927E-7
-14.694000	-2.599554E-7
-14.688000	-4.502945E-7
-14.682000	-4.714821E-7
-14.676000	-4.249159E-7
-14.670000	-1.034932E-7
-14.664000	-9.499490E-8
-14.658000	-9.080395E-8
-14.652000	-3.529713E-7
-14.645500	-2.260786E-7
-14.639500	-1.754379E-7
-14.633500	-1.965091E-7
-14.627500	-4.080357E-7
-14.621500	-5.179318E-7
-14.615500	-2.641464E-7
-14.609500	-2.557645E-7
-14.603500	-3.065215E-7
-14.597500	-3.234018E-7
-14.591500	-1.965091E-7
-14.585500	-2.007000E-7
-14.579500	-1.415610E-7
-14.573500	-1.373701E-7
-14.567500	-2.260786E-7
-14.561500	-4.207250E-7
-14.555500	-2.050074E-7
-14.549500	-2.430752E-7
-14.543500	-2.303859E-7
-14.537500	-3.319001E-7
-14.531500	-4.080357E-7
-14.525500	-4.334142E-7
-14.519500	-3.192108E-7
-14.513500	-3.910391E-7
-14.507500	-5.476177E-7
-14.501500	-4.037283E-7
-14.495500	-3.741588E-7
-14.489500	-1.076842E-7
-14.483500	-9.499490E-8
-14.477500	-1.796288E-7
-14.471500	-2.599554E-7
-14.465500	-2.218876E-7
-14.459500	-3.572786E-7
-14.453500	-2.684537E-7
-14.447500	-3.107125E-7
-14.441500	-4.841713E-7
-14.435500	-3.868481E-7
-14.429500	-3.402820E-7
-14.423500	-2.853340E-7
-14.417500	-1.796288E-7
-14.411500	-2.091983E-7
-14.405500	-2.303859E-7
-14.399500	-3.107125E-7
-14.393500	-1.415610E-7
-14.387500	-1.965091E-7
-14.381500	-2.853340E-7
-14.375500	-2.641464E-7
-14.369500	-2.050074E-7
-14.363500	-3.487803E-7
-14.357500	-2.260786E-7
-14.351500	-3.656605E-7
-14.345500	-5.222391E-7
-14.339500	-4.587928E-7
-14.333500	-2.726447E-7
-14.327500	-2.853340E-7
-14.321500	-5.898764E-7
-14.315500	-4.249159E-7
-14.309500	-1.076842E-7
-14.303500	-8.230563E-8
-14.297500	-2.176967E-7
-14.291500	-2.133893E-7
-14.285500	-2.726447E-7
-14.279500	-2.430752E-7
-14.273500	-1.754379E-7
-14.267500	-1.838198E-7
-14.261500	-2.726447E-7
-14.255500	-3.529713E-7
-14.249500	-3.065215E-7
-14.243500	-2.726447E-7
-14.237500	-2.853340E-7
-14.231500	-2.895249E-7
-14.225500	-2.684537E-7
-14.219500	-2.218876E-7
-14.213500	-1.246808E-7
-14.207500	-2.726447E-7
-14.201500	-1.965091E-7
-14.195500	-1.330627E-7
-14.189500	6.519258E-9
-14.183500	-1.288718E-7
-14.177500	-9.930227E-8
-14.171500	-4.417961E-7
-14.165500	-3.487803E-7
-14.159500	-3.192108E-7
-14.153500	-3.910391E-7
-14.147500	-3.107125E-7
-14.141500	-4.756730E-7
-14.135500	-5.052425E-7
-14.129500	-4.004687E-8
-14.123500	-1.246808E-7
-14.117500	6.519258E-9
-14.111500	-2.345769E-7
-14.105500	-2.811430E-7
-14.099500	-1.627486E-7
-14.093500	-1.923181E-7
-14.087500	-1.076842E-7
-14.081500	-3.065215E-7
-14.075500	-3.826572E-7
-14.069500	-3.741588E-7
-14.063500	-2.430752E-7
-14.057500	-3.995374E-7
-14.051500	-2.980232E-7
-14.045500	-3.826572E-7
-14.039500	-3.445894E-7
-14.033500	-4.854519E-8
-14.027500	-1.457520E-7
-14.021500	-6.542541E-8
-14.015500	-2.514571E-7
-14.009500	-2.050074E-7
-14.003500	-3.585592E-8
-13.997500	-4.854519E-8
-13.991500	-3.402820E-7
-13.985500	-4.629837E-7
-13.979500	-3.741588E-7
-13.973500	-2.768356E-7
-13.967500	-2.557645E-7
-13.961500	-2.430752E-7
-13.955500	-2.472661E-7
-13.949000	-5.264301E-7
-13.943000	-1.923181E-7
-13.937000	-2.641464E-7
-13.931000	-1.669396E-7
-13.925000	-2.726447E-7
-13.919000	-1.161825E-7
-13.913000	-1.754379E-7
-13.907000	-1.119915E-7
-13.901000	-3.656605E-7
-13.895000	-4.037283E-7
-13.889000	-4.249159E-7
-13.883000	-2.599554E-7
-13.877000	-3.614696E-7
-13.871000	-4.417961E-7
-13.865000	-4.291069E-7
-13.859000	-3.953464E-7
-13.853000	-4.854519E-8
-13.847000	-1.500593E-7
-13.841000	-2.218876E-7
-13.835000	-3.149034E-7
-13.829000	-2.303859E-7
-13.823000	-2.811430E-7
-13.817000	-1.288718E-7
-13.811000	-2.938323E-7
-13.805000	-2.811430E-7
-13.799000	-4.249159E-7
-13.793000	-2.811430E-7
-13.787000	-2.684537E-7
-13.781000	-1.965091E-7
-13.775000	-2.811430E-7
-13.769000	-4.080357E-7
-13.763000	-1.627486E-7
-13.757000	-3.585592E-8
-13.751000	-1.880107E-7
-13.745000	-2.811430E-7
-13.739000	-3.107125E-7
-13.733000	-2.316665E-8
-13.727000	-1.880107E-7
-13.721000	-4.207250E-7
-13.715000	-4.207250E-7
-13.709000	-2.684537E-7
-13.703000	-4.164176E-7
-13.697000	-2.980232E-7
-13.691000	-3.487803E-7
-13.685000	-4.249159E-7
-13.679000	-3.487803E-7
-13.673000	-1.415610E-7
-13.667000	-1.246808E-7
-13.661000	-1.457520E-7
-13.655000	-2.557645E-7
-13.649000	-2.303859E-7
-13.643000	-1.542503E-7
-13.637000	-1.161825E-7
-13.631000	-3.826572E-7
-13.625000	-4.249159E-7
-13.619000	-2.811430E-7
-13.613000	-3.022142E-7
-13.607000	-3.065215E-7
-13.601000	-3.402820E-7
-13.595000	-2.050074E-7
-13.589000	-2.599554E-7
-13.583000	-6.123446E-8
-13.577000	-2.387678E-7
-13.571000	-1.330627E-7
-13.565000	-2.007000E-7
-13.559000	-2.811430E-7
-13.553000	-6.170012E-9
-13.547000	-2.599554E-7
-13.541000	-4.004687E-8
-13.535000	-4.756730E-7
-13.529000	-4.417961E-7
-13.523000	-3.656605E-7
-13.517000	-3.783498E-7
-13.511000	-3.995374E-7
-13.505000	-5.771872E-7
-13.499000	-5.686888E-7
-13.493000	-2.557645E-7
-13.487000	-2.735760E-8
-13.481000	-1.076842E-7
-13.475000	-2.091983E-7
-13.469000	-2.387678E-7
-13.463000	-3.319001E-7
-13.457000	-1.754379E-7
-13.451000	-1.246808E-7
-13.445000	-3.487803E-7
-13.439000	-5.052425E-7
-13.433000	-3.826572E-7
-13.427000	-3.275927E-7
-13.421000	-2.726447E-7
-13.415000	-2.726447E-7
-13.409000	-3.360910E-7
-13.403000	-5.349284E-7
-13.397000	-1.457520E-7
-13.391000	-1.965091E-7
-13.385000	-4.164176E-7
-13.379000	-2.641464E-7
-13.373000	-1.457520E-7
-13.367000	-1.627486E-7
-13.361000	-1.885928E-8
-13.355000	-4.968606E-7
-13.349000	-4.164176E-7
-13.343000	-2.345769E-7
-13.337000	-3.234018E-7
