% Langmuir characteristic curve

% U (Volt)	I (A)
65.000000	-1.922017E-7
65.004997	-1.330627E-7
65.010002	-1.245644E-7
65.019997	-2.175802E-7
65.025002	-2.683373E-7
65.029999	-4.079193E-7
65.035004	-2.810266E-7
65.040001	-3.995374E-7
65.050003	-3.656605E-7
65.055000	-4.628673E-7
65.059998	-3.444729E-7
65.065002	-5.475013E-7
65.070000	-4.247995E-7
65.080002	-4.247995E-7
65.084999	-3.190944E-7
65.089996	-2.387678E-7
65.095001	-3.154855E-8
65.099998	-2.091983E-7
65.110001	-2.345769E-7
65.114998	-1.965091E-7
65.120003	-2.514571E-7
65.125000	-4.713656E-7
65.129997	-2.768356E-7
65.139999	-4.079193E-7
65.144997	-2.302695E-7
65.150002	-4.122267E-7
65.154999	-3.402820E-7
65.160004	-3.995374E-7
65.169998	-4.164176E-7
65.175003	-2.599554E-7
65.180000	-3.571622E-7
65.184998	-3.317837E-7
65.190002	-2.429588E-7
65.199997	-2.260786E-7
65.205002	-1.838198E-7
65.209999	-3.360910E-7
65.214996	-2.514571E-7
65.220001	-2.726447E-7
65.230003	-5.475013E-7
65.235001	-4.291069E-7
65.239998	-4.755566E-7
65.245003	-5.306210E-7
65.250000	-3.360910E-7
65.260002	-3.741588E-7
65.264999	-1.626322E-7
65.269997	-2.302695E-7
65.275002	-2.218876E-7
65.279999	-3.022142E-7
65.290001	-1.838198E-7
65.294998	-1.880107E-7
65.300003	-3.952300E-7
65.305000	-4.967442E-7
65.309998	-3.529713E-7
65.320000	-4.798640E-7
65.324997	-3.910391E-7
65.330002	-5.263137E-7
65.334999	-4.374888E-7
65.339996	-3.064051E-7
65.349998	-2.726447E-7
65.355003	-2.895249E-7
65.360001	-2.895249E-7
65.364998	-2.599554E-7
65.370003	-3.573950E-8
65.379997	-3.107125E-7
65.385002	-1.795124E-7
65.389999	-3.868481E-7
65.394997	-3.783498E-7
65.400002	-2.048910E-7
65.410004	-4.967442E-7
65.415001	-5.179318E-7
65.419998	-2.472661E-7
65.425003	-4.417961E-7
65.430000	-3.402820E-7
65.440002	-3.741588E-7
65.445000	-4.374888E-7
65.449997	-2.514571E-7
65.455002	-2.302695E-7
65.459999	-2.980232E-7
65.470001	-1.541339E-7
65.474998	-1.922017E-7
65.480003	-1.795124E-7
65.485001	-1.287553E-7
65.489998	-2.556480E-7
65.500000	-3.952300E-7
65.504997	-3.825407E-7
65.510002	-3.487803E-7
65.514999	-3.360910E-7
65.519997	-4.501780E-7
65.529999	-3.487803E-7
65.535004	-2.175802E-7
65.540001	-2.302695E-7
65.544998	-2.302695E-7
65.550003	-4.004687E-8
65.559998	-2.260786E-7
65.565002	-1.838198E-7
65.570000	-3.444729E-7
65.574997	-4.417961E-7
65.580002	-2.980232E-7
65.589996	-3.487803E-7
65.595001	-3.825407E-7
65.599998	-2.218876E-7
65.605003	-3.064051E-7
65.610001	-3.360910E-7
65.620003	-3.783498E-7
65.625000	-2.937159E-7
65.629997	-2.937159E-7
65.635002	-1.922017E-7
65.639999	-1.457520E-7
65.650002	-1.838198E-7
65.654999	-2.218876E-7
65.660004	-2.556480E-7
65.665001	-3.190944E-7
65.669998	-3.402820E-7
65.680000	-3.022142E-7
65.684998	-3.444729E-7
65.690002	-5.559996E-7
65.695000	-3.317837E-7
65.705002	-2.895249E-7
65.709999	-2.641464E-7
65.714996	-1.711305E-7
65.720001	-2.302695E-7
65.724998	-2.133893E-7
65.735001	-2.726447E-7
65.739998	-2.302695E-7
65.745003	-2.429588E-7
65.750000	-2.260786E-7
65.754997	-2.218876E-7
65.764999	-3.064051E-7
65.769997	-3.741588E-7
65.775002	-2.937159E-7
65.779999	-4.544854E-7
65.785004	-5.348120E-7
65.794998	-2.218876E-7
65.800003	-6.532064E-7
65.805000	-2.260786E-7
65.809998	-2.768356E-7
65.815002	-2.048910E-7
65.824997	-3.022142E-7
65.830002	-1.160661E-7
65.834999	-4.374888E-7
65.839996	-1.668232E-7
65.845001	-3.234018E-7
65.855003	-2.980232E-7
65.860001	-3.234018E-7
65.864998	-4.798640E-7
65.870003	-5.179318E-7
65.875000	-4.459871E-7
65.885002	-4.291069E-7
65.889999	-3.234018E-7
65.894997	-3.022142E-7
65.900002	-2.937159E-7
65.904999	-3.571622E-7
65.915001	-2.305023E-8
65.919998	-3.107125E-7
65.925003	-1.880107E-7
65.930000	-2.302695E-7
65.934998	-2.133893E-7
65.945000	-2.641464E-7
65.949997	-2.895249E-7
65.955002	-6.828923E-7
65.959999	-3.487803E-7
65.964996	-4.417961E-7
65.974998	-6.448245E-7
65.980003	-4.374888E-7
65.985001	-3.825407E-7
65.989998	-1.711305E-7
65.995003	-2.302695E-7
66.004997	-1.922017E-7
66.010002	-1.372537E-7
66.014999	-1.711305E-7
66.019997	-2.514571E-7
66.025002	-2.980232E-7
66.035004	-4.122267E-7
66.040001	-3.444729E-7
66.044998	-2.175802E-7
66.050003	-4.374888E-7
66.055000	-3.317837E-7
66.065002	-4.291069E-7
66.070000	-3.360910E-7
66.074997	-2.937159E-7
66.080002	-2.007000E-7
66.084999	-1.753215E-7
66.095001	-1.965091E-7
66.099998	-3.571622E-7
66.105003	-3.317837E-7
66.110001	-1.965091E-7
66.114998	-6.111804E-8
66.125000	-2.726447E-7
66.129997	-4.713656E-7
66.135002	-3.149034E-7
66.139999	-4.079193E-7
66.144997	-3.571622E-7
66.154999	-4.882459E-7
66.160004	-3.783498E-7
66.165001	-4.247995E-7
66.169998	-3.868481E-7
66.175003	-2.599554E-7
66.184998	-2.305023E-8
66.190002	-1.499429E-7
66.195000	-2.091983E-7
66.199997	-7.811468E-8
66.205002	-2.556480E-7
66.214996	-1.118751E-7
66.220001	-3.910391E-7
66.224998	-5.052425E-7
66.230003	-5.094334E-7
66.235001	-3.402820E-7
66.245003	-3.190944E-7
66.250000	-4.925532E-7
66.254997	-2.556480E-7
66.260002	-2.429588E-7
66.264999	-2.768356E-7
66.275002	-3.149034E-7
66.279999	-1.330627E-7
66.285004	-2.048910E-7
66.290001	-1.457520E-7
66.294998	-1.965091E-7
66.305000	-3.825407E-7
66.309998	-1.160661E-7
66.315002	-5.136244E-7
66.320000	-4.374888E-7
66.324997	-3.910391E-7
66.334999	-5.052425E-7
66.339996	-3.571622E-7
66.345001	-3.234018E-7
66.349998	-3.614696E-7
66.355003	-9.918585E-8
66.364998	-2.175802E-7
66.370003	-3.149034E-7
66.375000	-1.753215E-7
66.379997	-2.514571E-7
66.385002	-1.457520E-7
66.394997	-2.726447E-7
66.400002	-1.965091E-7
66.404999	-3.783498E-7
66.410004	-4.079193E-7
66.415001	-3.022142E-7
66.425003	-4.628673E-7
66.430000	-5.263137E-7
66.434998	-3.275927E-7
66.440002	-1.287553E-7
66.445000	-2.853340E-7
66.455002	-3.571622E-7
66.459999	-2.048910E-7
66.464996	-2.726447E-7
66.470001	-1.457520E-7
66.474998	-3.107125E-7
66.485001	-2.429588E-7
66.489998	-1.160661E-7
66.495003	-4.079193E-7
66.500000	-3.571622E-7
66.504997	-3.317837E-7
66.514999	-4.374888E-7
66.519997	-2.980232E-7
66.525002	-3.402820E-7
66.529999	-3.149034E-7
66.535004	-3.149034E-7
66.544998	-1.795124E-7
66.550003	-1.330627E-7
66.555000	-6.170012E-9
66.559998	-1.541339E-7
66.565002	-1.668232E-7
66.574997	-1.838198E-7
66.580002	-2.895249E-7
66.584999	-2.641464E-7
66.589996	-5.306210E-7
66.595001	-3.064051E-7
66.605003	-2.048910E-7
66.610001	-5.052425E-7
66.614998	-1.922017E-7
66.620003	-4.164176E-7
66.625000	-2.768356E-7
66.635002	-2.683373E-7
66.639999	-3.444729E-7
66.644997	-2.218876E-7
66.650002	-6.542541E-8
66.654999	-1.584413E-7
66.665001	-2.218876E-7
66.669998	-2.937159E-7
66.675003	-3.868481E-7
66.680000	-4.037283E-7
66.684998	-4.291069E-7
66.695000	-3.317837E-7
66.699997	-5.094334E-7
66.705002	-3.952300E-7
66.709999	-1.668232E-7
66.714996	-2.556480E-7
66.724998	-2.472661E-7
66.730003	-1.036096E-8
66.735001	-2.007000E-7
66.739998	-2.048910E-7
66.745003	-2.048910E-7
66.754997	-1.753215E-7
66.760002	-2.726447E-7
66.764999	-3.698515E-7
66.769997	-2.980232E-7
66.775002	-3.868481E-7
66.785004	-4.122267E-7
66.790001	-3.444729E-7
66.794998	-1.880107E-7
66.800003	-3.360910E-7
66.805000	-2.768356E-7
66.815002	-3.317837E-7
66.820000	-2.091983E-7
66.824997	-2.641464E-7
66.830002	-1.414446E-7
66.834999	-1.541339E-7
66.845001	-2.302695E-7
66.849998	-3.022142E-7
66.855003	-4.206086E-7
66.860001	-2.937159E-7
66.864998	-3.529713E-7
66.875000	-2.175802E-7
66.879997	-2.091983E-7
66.885002	-4.840549E-7
66.889999	-4.501780E-7
66.894997	-2.726447E-7
66.904999	-2.260786E-7
66.910004	-2.260786E-7
66.915001	-2.091983E-7
66.919998	-2.556480E-7
