% U (Volt)	I (A)
-15.000000	-3.360910E-7
-14.992000	-2.218876E-7
-14.984000	-3.910391E-7
-14.976000	-3.910391E-7
-14.968000	-3.107125E-7
-14.960000	-1.034932E-7
-14.952000	-3.868481E-7
-14.944000	-5.052425E-7
-14.936000	-4.459871E-7
-14.928000	-4.586764E-7
-14.920000	-4.164176E-7
-14.912000	-6.194459E-7
-14.904000	-3.953464E-7
-14.896000	-3.319001E-7
-14.888000	-3.529713E-7
-14.880000	-3.234018E-7
-14.872000	-2.091983E-7
-14.864000	-2.218876E-7
-14.856000	-2.091983E-7
-14.848000	-7.811468E-8
-14.840000	-3.022142E-7
-14.832000	-3.192108E-7
-14.824000	-3.107125E-7
-14.816000	-4.502945E-7
-14.808000	-4.629837E-7
-14.800000	-3.868481E-7
-14.792000	-3.995374E-7
-14.784000	-3.572786E-7
-14.776000	-4.967442E-7
-14.768000	-4.713656E-7
-14.760000	-8.661300E-8
-14.752000	-3.360910E-7
-14.744000	-2.980232E-7
-14.736000	-4.423782E-8
-14.728000	-2.938323E-7
-14.720000	-2.472661E-7
-14.712000	-2.726447E-7
-14.704000	-5.264301E-7
-14.696000	-4.291069E-7
-14.688000	-4.544854E-7
-14.680000	-3.995374E-7
-14.672000	-2.430752E-7
-14.663500	-4.586764E-7
-14.655500	-4.671747E-7
-14.647500	-3.065215E-7
-14.639500	-4.332978E-7
-14.631500	-4.417961E-7
-14.623500	-2.133893E-7
-14.615500	-2.557645E-7
-14.607500	-6.542541E-8
-14.599500	-2.007000E-7
-14.591500	-3.487803E-7
-14.583500	-4.967442E-7
-14.575500	-3.487803E-7
-14.567500	-2.980232E-7
-14.559500	-7.674098E-7
-14.551500	-4.037283E-7
-14.543500	-5.052425E-7
-14.535500	-3.402820E-7
-14.527500	-3.360910E-7
-14.519500	-2.303859E-7
-14.511500	-3.783498E-7
-14.503500	-2.768356E-7
-14.495500	-2.938323E-7
-14.487500	-2.345769E-7
-14.479500	-2.387678E-7
-14.471500	-3.445894E-7
-14.463500	-2.895249E-7
-14.455500	-3.741588E-7
-14.447500	-4.206086E-7
-14.439500	-4.332978E-7
-14.431500	-3.953464E-7
-14.423500	-3.699679E-7
-14.415500	-4.164176E-7
-14.407500	-4.037283E-7
-14.399500	-4.459871E-7
-14.391500	-2.430752E-7
-14.383500	-3.065215E-7
-14.375500	-4.004687E-8
-14.367500	-2.514571E-7
-14.359500	-3.783498E-7
-14.351500	-1.372537E-7
-14.343500	-4.756730E-7
-14.335500	-4.164176E-7
-14.327500	-4.502945E-7
-14.319500	-4.037283E-7
-14.311500	-5.264301E-7
-14.303500	-3.275927E-7
-14.295500	-4.206086E-7
-14.287500	-3.319001E-7
-14.279500	-2.980232E-7
