% U (Volt)	I (A)
65.000000	-3.275927E-7
65.199997	3.828900E-7
65.404999	2.518063E-7
65.605003	2.518063E-7
65.809998	-2.429588E-7
66.010002	-2.091983E-7
66.209999	-1.160661E-7
66.415001	1.082662E-8
66.614998	2.010493E-7
66.820000	4.124595E-7
67.019997	6.450573E-7
67.220001	1.410488E-6
67.425003	2.484652E-6
67.625000	4.239613E-6
67.830002	6.844639E-6
68.029999	1.084083E-5
68.230003	1.686276E-5
68.434998	2.535002E-5
68.635002	3.724161E-5
68.839996	5.023263E-5
69.040001	6.804022E-5
69.239998	8.919300E-5
69.445000	0.000115
69.644997	0.000144
69.849998	0.000174
70.050003	0.000196
70.250000	0.000209
70.455002	0.000219
70.654999	0.000228
70.860001	0.000237
71.059998	0.000244
71.264999	0.000249
71.464996	0.000253
71.665001	0.000257
71.870003	0.000260
72.070000	0.000262
72.275002	0.000265
72.474998	0.000268
72.675003	0.000270
72.879997	0.000272
73.080002	0.000274
73.285004	0.000275
73.485001	0.000277
73.684998	0.000279
73.889999	0.000280
74.089996	0.000281
74.294998	0.000282
74.495003	0.000283
74.695000	0.000284
74.900002	0.000284
75.099998	0.000285
75.305000	0.000285
75.504997	0.000286
75.705002	0.000287
75.910004	0.000287
76.110001	0.000287
76.315002	0.000288
76.514999	0.000288
76.714996	0.000289
76.919998	0.000289
77.120003	0.000289
77.324997	0.000290
77.525002	0.000290
77.724998	0.000290
77.930000	0.000291
78.129997	0.000291
78.334999	0.000291
78.535004	0.000291
78.735001	0.000292
78.940002	0.000292
79.139999	0.000292
79.345001	0.000293
79.544998	0.000293
79.745003	0.000294
79.949997	0.000295
80.150002	0.000295
80.355003	0.000296
80.555000	0.000297
80.754997	0.000298
80.959999	0.000299
81.160004	0.000301
81.364998	0.000302
81.565002	0.000305
81.769997	0.000309
81.970001	0.000314
82.169998	0.000320
82.375000	0.000329
82.574997	0.000339
82.779999	0.000354
82.980003	0.000370
83.180000	0.000390
83.385002	0.000413
83.584999	0.000438
83.790001	0.000468
83.989998	0.000499
84.190002	0.000535
84.394997	0.000574
84.595001	0.000621
84.800003	0.000672
85.000000	0.000729
