% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-4.037283E-7
-14.994000	-3.445894E-7
-14.988000	-3.319001E-7
-14.982000	-6.702030E-7
-14.976000	-7.082708E-7
-14.970000	-6.194459E-7
-14.964000	-4.671747E-7
-14.958000	-6.236369E-7
-14.952000	-4.461035E-7
-14.946000	-6.702030E-7
-14.940000	-3.614696E-7
-14.934000	-4.249159E-7
-14.928000	-2.980232E-7
-14.922000	-3.699679E-7
-14.916000	-4.502945E-7
-14.910000	-6.279442E-7
-14.904000	-2.684537E-7
-14.898000	-4.883623E-7
-14.892000	-5.391194E-7
-14.886000	-6.152550E-7
-14.880000	-4.291069E-7
-14.874000	-5.010515E-7
-14.868000	-4.207250E-7
-14.862000	-4.164176E-7
-14.856000	-5.686888E-7
-14.850000	-5.603069E-7
-14.844000	-4.714821E-7
-14.838000	-4.587928E-7
-14.832000	-3.445894E-7
-14.826000	-3.275927E-7
-14.820000	-3.234018E-7
-14.814000	-3.699679E-7
-14.808000	-4.207250E-7
-14.802000	-6.279442E-7
-14.796000	-7.167691E-7
-14.790000	-5.306210E-7
-14.784000	-4.207250E-7
-14.778000	-7.040799E-7
-14.772000	-7.251510E-7
-14.766000	-6.025657E-7
-14.760000	-5.898764E-7
-14.754000	-1.330627E-7
-14.748000	-1.457520E-7
-14.742000	-3.741588E-7
-14.736000	-4.671747E-7
-14.730000	-3.699679E-7
-14.724000	-3.402820E-7
-14.718000	-3.699679E-7
-14.712000	-7.294584E-7
-14.706000	-6.406335E-7
-14.700000	-4.502945E-7
-14.694000	-3.319001E-7
-14.688000	-4.164176E-7
-14.682000	-4.207250E-7
-14.676000	-4.714821E-7
-14.670000	-3.529713E-7
-14.664000	-1.584413E-7
-14.658000	-3.360910E-7
-14.652000	-4.798640E-7
-14.645500	-5.222391E-7
-14.639500	-3.487803E-7
-14.633500	-4.164176E-7
-14.627500	-2.557645E-7
-14.621500	-7.124618E-7
-14.615500	-4.122267E-7
-14.609500	-4.841713E-7
-14.603500	-4.883623E-7
-14.597500	-4.164176E-7
-14.591500	-6.533228E-7
-14.585500	-4.968606E-7
-14.579500	-5.856855E-7
-14.573500	-2.769521E-7
-14.567500	-3.192108E-7
-14.561500	-5.264301E-7
-14.555500	-4.207250E-7
-14.549500	-8.230563E-8
-14.543500	-2.557645E-7
-14.537500	-1.330627E-7
-14.531500	-5.010515E-7
-14.525500	-4.376052E-7
-14.519500	-5.856855E-7
-14.513500	-3.572786E-7
-14.507500	-3.826572E-7
-14.501500	-3.656605E-7
-14.495500	-5.095499E-7
-14.489500	-4.334142E-7
-14.483500	-5.179318E-7
-14.477500	-3.487803E-7
-14.471500	-3.149034E-7
-14.465500	-4.207250E-7
-14.459500	-3.910391E-7
-14.453500	-1.584413E-7
-14.447500	-2.684537E-7
-14.441500	-4.502945E-7
-14.435500	-6.236369E-7
-14.429500	-4.376052E-7
-14.423500	-3.995374E-7
-14.417500	-4.756730E-7
-14.411500	-6.236369E-7
-14.405500	-8.139759E-7
-14.399500	-5.095499E-7
-14.393500	-6.448245E-7
-14.387500	-2.726447E-7
-14.381500	-4.122267E-7
-14.375500	-3.614696E-7
-14.369500	-3.783498E-7
-14.363500	-1.754379E-7
-14.357500	-1.330627E-7
-14.351500	-9.499490E-8
-14.345500	-7.040799E-7
-14.339500	-7.209601E-7
-14.333500	-4.291069E-7
-14.327500	-5.813781E-7
-14.321500	-5.983748E-7
-14.315500	-6.152550E-7
-14.309500	-4.756730E-7
-14.303500	-4.207250E-7
-14.297500	-4.502945E-7
-14.291500	-3.910391E-7
-14.285500	-2.135057E-7
-14.279500	-4.502945E-7
-14.273500	-4.080357E-7
-14.267500	-1.288718E-7
-14.261500	-4.249159E-7
-14.255500	-6.194459E-7
-14.249500	-4.334142E-7
-14.243500	-4.671747E-7
-14.237500	-5.264301E-7
-14.231500	-8.605421E-7
-14.225500	-7.802155E-7
-14.219500	-5.222391E-7
-14.213500	-6.194459E-7
-14.207500	-2.345769E-7
-14.201500	-3.529713E-7
-14.195500	-5.264301E-7
-14.189500	-4.544854E-7
-14.183500	-9.080395E-8
-14.177500	-2.599554E-7
-14.171500	-1.119915E-7
-14.165500	-5.686888E-7
-14.159500	-5.349284E-7
-14.153500	-2.769521E-7
-14.147500	-3.319001E-7
-14.141500	-4.629837E-7
-14.135500	-3.402820E-7
-14.129500	-2.515735E-7
-14.123500	-5.518086E-7
-14.117500	-2.430752E-7
-14.111500	-2.557645E-7
-14.105500	-4.417961E-7
-14.099500	-4.037283E-7
-14.093500	-6.828923E-7
-14.087500	-4.334142E-7
-14.081500	-3.953464E-7
-14.075500	-5.518086E-7
-14.069500	-5.518086E-7
-14.063500	-2.938323E-7
-14.057500	-3.953464E-7
-14.051500	-3.953464E-7
-14.045500	-8.690404E-7
-14.039500	-6.279442E-7
-14.033500	-5.898764E-7
-14.027500	-1.754379E-7
-14.021500	-2.430752E-7
-14.015500	-4.502945E-7
-14.009500	-5.518086E-7
-14.003500	-5.391194E-7
-13.997500	-1.288718E-7
-13.991500	-1.923181E-7
-13.985500	-2.938323E-7
-13.979500	-5.349284E-7
-13.973500	-5.813781E-7
-13.967500	-4.883623E-7
-13.961500	-4.671747E-7
-13.955500	-3.826572E-7
-13.949000	-5.940674E-7
-13.943000	-4.798640E-7
-13.937000	-2.008164E-7
-13.931000	-2.853340E-7
-13.925000	-4.249159E-7
-13.919000	-3.783498E-7
-13.913000	-3.699679E-7
-13.907000	-2.388842E-7
-13.901000	-3.402820E-7
-13.895000	-3.995374E-7
-13.889000	-4.883623E-7
-13.883000	-6.067567E-7
-13.877000	-2.853340E-7
-13.871000	-4.714821E-7
-13.865000	-5.222391E-7
-13.859000	-4.502945E-7
-13.853000	-5.306210E-7
-13.847000	-3.065215E-7
-13.841000	-1.330627E-7
-13.835000	-3.192108E-7
-13.829000	-4.502945E-7
-13.823000	-4.544854E-7
-13.817000	6.519258E-9
-13.811000	-1.584413E-7
-13.805000	-2.008164E-7
-13.799000	-6.955815E-7
-13.793000	-7.167691E-7
-13.787000	-4.291069E-7
-13.781000	-4.122267E-7
-13.775000	-3.572786E-7
-13.769000	-5.729962E-7
-13.763000	-5.306210E-7
-13.757000	-2.050074E-7
-13.751000	-2.769521E-7
-13.745000	-1.754379E-7
-13.739000	-4.037283E-7
-13.733000	-5.856855E-7
-13.727000	-2.980232E-7
-13.721000	-4.122267E-7
-13.715000	-3.614696E-7
-13.709000	-4.461035E-7
