% Langmuir characteristic curve

% U (Volt)	I (A)
65.000000	-3.741588E-7
65.004997	-4.079193E-7
65.010002	-4.586764E-7
65.019997	-4.417961E-7
65.025002	-4.249159E-7
65.029999	-3.487803E-7
65.035004	-1.838198E-7
65.040001	-3.149034E-7
65.050003	-3.149034E-7
65.055000	-2.176967E-7
65.059998	-1.796288E-7
65.065002	-2.683373E-7
65.070000	-1.838198E-7
65.080002	-3.234018E-7
65.084999	-5.137408E-7
65.089996	-5.306210E-7
65.095001	-5.982583E-7
65.099998	-5.390029E-7
65.110001	-5.221227E-7
65.114998	-4.376052E-7
65.120003	-3.444729E-7
65.125000	-3.995374E-7
65.129997	-2.514571E-7
65.139999	-2.853340E-7
65.144997	-2.641464E-7
65.150002	-2.050074E-7
65.154999	-2.726447E-7
65.160004	-3.783498E-7
65.169998	-4.840549E-7
65.175003	-3.741588E-7
65.180000	-4.037283E-7
65.184998	-6.405171E-7
65.190002	-2.853340E-7
65.199997	-5.982583E-7
65.205002	-3.825407E-7
65.209999	-2.007000E-7
65.214996	-3.825407E-7
65.220001	-3.317837E-7
65.230003	-4.079193E-7
65.235001	-2.514571E-7
65.239998	-2.853340E-7
65.245003	-2.641464E-7
65.250000	-4.122267E-7
65.260002	-3.783498E-7
65.264999	-3.910391E-7
65.269997	-4.122267E-7
65.275002	-4.586764E-7
65.279999	-4.459871E-7
65.290001	-7.800991E-7
65.294998	-3.910391E-7
65.300003	-4.249159E-7
65.305000	-3.656605E-7
65.309998	-3.022142E-7
65.320000	-1.161825E-7
65.324997	-2.091983E-7
65.330002	-9.499490E-8
65.334999	-2.937159E-7
65.339996	-3.022142E-7
65.349998	-3.741588E-7
65.355003	-4.332978E-7
65.360001	-4.332978E-7
65.364998	-5.052425E-7
65.370003	-4.671747E-7
65.379997	-4.756730E-7
65.385002	-5.516922E-7
65.389999	-4.756730E-7
65.394997	-3.234018E-7
65.400002	-3.910391E-7
65.410004	-2.937159E-7
65.415001	-1.965091E-7
65.419998	-2.133893E-7
65.425003	-3.107125E-7
65.430000	-3.022142E-7
65.440002	-2.937159E-7
65.445000	-3.741588E-7
65.449997	-5.770708E-7
65.455002	-4.502945E-7
65.459999	-4.291069E-7
65.470001	-4.249159E-7
65.474998	-5.010515E-7
65.480003	-3.022142E-7
65.485001	-3.656605E-7
65.489998	-2.853340E-7
65.500000	-1.118751E-7
65.504997	-2.429588E-7
65.510002	-2.218876E-7
65.514999	-2.260786E-7
65.519997	-2.472661E-7
65.529999	-3.995374E-7
65.535004	-3.995374E-7
65.540001	-4.376052E-7
65.544998	-5.137408E-7
65.550003	-5.643815E-7
65.559998	-5.897600E-7
65.565002	-3.825407E-7
65.570000	-3.910391E-7
65.574997	-3.614696E-7
65.580002	-2.726447E-7
65.589996	-2.895249E-7
65.595001	-2.810266E-7
65.599998	-2.472661E-7
65.605003	-1.753215E-7
65.610001	-3.698515E-7
65.620003	-3.107125E-7
65.625000	-4.037283E-7
65.629997	-4.037283E-7
65.635002	-3.190944E-7
65.639999	-4.586764E-7
65.650002	-5.263137E-7
65.654999	-4.291069E-7
65.660004	-4.671747E-7
65.665001	-4.840549E-7
65.669998	-2.810266E-7
65.680000	-2.133893E-7
65.684998	-2.050074E-7
65.690002	-2.768356E-7
65.695000	-2.599554E-7
65.705002	-2.556480E-7
65.709999	-2.768356E-7
65.714996	-3.317837E-7
65.720001	-2.641464E-7
65.724998	-3.360910E-7
65.735001	-4.798640E-7
65.739998	-5.855691E-7
65.745003	-5.475013E-7
65.750000	-2.218876E-7
65.754997	-3.402820E-7
65.764999	-2.980232E-7
65.769997	-4.079193E-7
65.775002	-2.853340E-7
65.779999	-2.345769E-7
65.785004	-1.923181E-7
65.794998	-4.122267E-7
65.800003	-4.713656E-7
65.805000	-4.798640E-7
65.809998	-4.249159E-7
65.815002	-5.770708E-7
65.824997	-4.586764E-7
65.830002	-4.332978E-7
65.834999	-5.728798E-7
65.839996	-4.629837E-7
65.845001	-4.967442E-7
65.855003	-3.402820E-7
65.860001	-3.317837E-7
65.864998	-7.380731E-8
65.870003	-2.472661E-7
65.875000	-1.965091E-7
65.885002	-2.768356E-7
65.889999	-3.107125E-7
65.894997	-2.937159E-7
65.900002	-3.614696E-7
65.904999	-4.079193E-7
65.915001	-2.683373E-7
65.919998	-5.813781E-7
65.925003	-5.306210E-7
65.930000	-2.641464E-7
65.934998	-2.683373E-7
65.945000	-2.768356E-7
65.949997	-3.995374E-7
65.955002	-1.880107E-7
65.959999	-2.641464E-7
65.964996	-1.965091E-7
65.974998	-4.291069E-7
65.980003	-2.599554E-7
65.985001	-3.487803E-7
65.989998	-4.206086E-7
65.995003	-2.641464E-7
66.004997	-4.376052E-7
66.010002	-6.109476E-7
66.014999	-6.363261E-7
66.019997	-4.206086E-7
66.025002	-3.360910E-7
66.035004	-3.614696E-7
66.040001	-2.260786E-7
66.044998	-8.649658E-8
66.050003	-2.260786E-7
66.055000	-6.961636E-8
66.065002	-2.556480E-7
66.070000	-3.107125E-7
66.074997	-3.656605E-7
66.080002	-3.444729E-7
66.084999	-4.079193E-7
66.095001	-3.783498E-7
66.099998	-4.164176E-7
66.105003	-4.332978E-7
66.110001	-2.472661E-7
66.114998	-5.263137E-7
66.125000	-4.925532E-7
66.129997	-3.064051E-7
66.135002	-2.895249E-7
66.139999	-2.091983E-7
66.144997	-2.133893E-7
66.154999	-2.133893E-7
66.160004	-1.372537E-7
66.165001	-2.472661E-7
66.169998	-4.756730E-7
66.175003	-5.179318E-7
66.184998	-3.022142E-7
66.190002	-5.601905E-7
66.195000	-4.164176E-7
66.199997	-3.317837E-7
66.205002	-4.332978E-7
66.214996	-2.980232E-7
66.220001	-1.584413E-7
66.224998	-3.360910E-7
66.230003	-2.937159E-7
66.235001	-9.499490E-8
66.245003	-4.544854E-7
66.250000	-2.472661E-7
66.254997	-4.883623E-7
66.260002	-3.995374E-7
66.264999	-5.179318E-7
66.275002	-3.317837E-7
66.279999	-4.417961E-7
66.285004	-2.683373E-7
66.290001	-4.164176E-7
66.294998	-4.249159E-7
66.305000	-1.880107E-7
66.309998	-4.586764E-7
66.315002	-4.586764E-7
66.320000	-2.556480E-7
66.324997	-2.176967E-7
66.334999	-2.472661E-7
66.339996	-3.825407E-7
66.345001	-3.149034E-7
66.349998	-3.149034E-7
66.355003	-3.741588E-7
66.364998	-4.417961E-7
66.370003	-4.586764E-7
66.375000	-5.475013E-7
66.379997	-4.629837E-7
66.385002	-4.459871E-7
66.394997	-3.571622E-7
66.400002	-1.584413E-7
66.404999	-2.853340E-7
66.410004	-2.683373E-7
66.415001	-1.923181E-7
66.425003	-3.952300E-7
66.430000	-2.472661E-7
66.434998	-3.825407E-7
66.440002	-3.275927E-7
66.445000	-3.698515E-7
66.455002	-4.967442E-7
66.459999	-4.544854E-7
66.464996	-2.853340E-7
66.470001	-6.024493E-7
66.474998	-3.698515E-7
66.485001	-3.614696E-7
66.489998	-3.868481E-7
66.495003	-3.910391E-7
66.500000	-2.556480E-7
66.504997	-2.387678E-7
66.514999	-4.079193E-7
66.519997	-1.965091E-7
66.525002	-3.995374E-7
66.529999	-4.332978E-7
66.535004	-4.459871E-7
66.544998	-4.417961E-7
66.550003	-4.840549E-7
66.555000	-4.544854E-7
66.559998	-5.601905E-7
66.565002	-4.671747E-7
66.574997	-3.444729E-7
66.580002	-3.022142E-7
66.584999	-2.895249E-7
66.589996	-2.429588E-7
66.595001	-1.880107E-7
66.605003	-2.472661E-7
66.610001	-3.825407E-7
66.614998	-2.980232E-7
66.620003	-2.050074E-7
66.625000	-4.967442E-7
66.635002	-4.291069E-7
66.639999	-3.783498E-7
66.644997	-5.940674E-7
66.650002	-4.713656E-7
66.654999	-5.686888E-7
66.665001	-3.910391E-7
66.669998	-1.626322E-7
66.675003	-2.260786E-7
66.680000	-2.176967E-7
66.684998	-2.472661E-7
66.695000	-3.360910E-7
66.699997	-4.079193E-7
66.705002	-2.556480E-7
66.709999	-4.164176E-7
66.714996	-4.037283E-7
66.724998	-3.529713E-7
66.730003	-3.614696E-7
66.735001	-3.783498E-7
66.739998	-4.798640E-7
66.745003	-5.137408E-7
66.754997	-3.825407E-7
66.760002	-3.107125E-7
66.764999	-1.034932E-7
66.769997	-3.402820E-7
66.775002	-3.487803E-7
66.785004	-2.683373E-7
66.790001	-2.768356E-7
66.794998	-2.768356E-7
66.800003	-3.656605E-7
66.805000	-2.768356E-7
66.815002	-4.164176E-7
66.820000	-4.037283E-7
66.824997	-4.079193E-7
66.830002	-4.756730E-7
66.834999	-4.671747E-7
66.845001	-5.221227E-7
66.849998	-1.626322E-7
66.855003	-3.952300E-7
66.860001	-2.345769E-7
66.864998	-3.868481E-7
66.875000	-3.614696E-7
66.879997	-1.711305E-7
66.885002	-2.302695E-7
66.889999	-3.656605E-7
66.894997	-4.883623E-7
66.904999	-4.459871E-7
66.910004	-6.194459E-7
66.915001	-2.683373E-7
66.919998	-4.332978E-7
66.925003	-3.868481E-7
66.934998	-3.190944E-7
66.940002	-3.064051E-7
66.945000	-2.091983E-7
66.949997	-3.107125E-7
66.955002	-3.529713E-7
66.964996	-2.514571E-7
66.970001	-2.726447E-7
66.974998	-2.895249E-7
66.980003	-1.330627E-7
66.985001	-2.726447E-7
66.995003	-3.910391E-7
67.000000	-5.179318E-7
67.004997	-5.348120E-7
67.010002	-4.798640E-7
67.014999	-4.629837E-7
67.025002	-3.402820E-7
67.029999	-1.669396E-7
67.035004	-2.641464E-7
67.040001	-2.050074E-7
67.044998	-1.584413E-7
67.055000	-3.783498E-7
67.059998	-2.218876E-7
67.065002	-2.726447E-7
67.070000	-3.529713E-7
67.080002	-1.542503E-7
67.084999	-3.741588E-7
67.089996	-4.417961E-7
67.095001	-3.783498E-7
67.099998	-4.756730E-7
67.110001	-4.502945E-7
67.114998	-4.840549E-7
67.120003	-5.179318E-7
67.125000	-1.076842E-7
67.129997	-3.741588E-7
67.139999	-3.064051E-7
67.144997	-1.711305E-7
67.150002	-2.683373E-7
67.154999	-2.768356E-7
67.160004	-3.402820E-7
67.169998	-2.768356E-7
67.175003	-3.868481E-7
67.180000	-5.728798E-7
67.184998	-4.332978E-7
67.190002	-4.629837E-7
67.199997	-4.079193E-7
67.205002	-4.291069E-7
67.209999	-2.937159E-7
67.214996	-5.348120E-7
67.220001	-4.079193E-7
67.230003	-1.711305E-7
67.235001	-2.472661E-7
67.239998	-5.273614E-8
67.245003	-2.472661E-7
67.250000	-2.007000E-7
67.260002	-4.332978E-7
67.264999	-3.317837E-7
67.269997	-2.472661E-7
67.275002	-4.291069E-7
67.279999	-4.756730E-7
67.290001	-4.544854E-7
67.294998	-4.586764E-7
67.300003	-2.853340E-7
67.305000	-3.275927E-7
67.309998	-3.190944E-7
67.320000	-2.345769E-7
67.324997	-1.923181E-7
67.330002	-3.022142E-7
67.334999	-6.542541E-8
67.339996	-3.064051E-7
67.349998	-4.840549E-7
67.355003	-2.683373E-7
67.360001	-4.967442E-7
67.364998	-3.910391E-7
67.370003	-4.206086E-7
67.379997	-4.122267E-7
67.385002	-3.741588E-7
67.389999	-3.149034E-7
67.394997	-3.190944E-7
67.400002	-2.050074E-7
67.410004	-2.768356E-7
67.415001	-3.444729E-7
67.419998	-2.050074E-7
67.425003	-2.050074E-7
67.430000	-3.317837E-7
67.440002	-2.768356E-7
67.445000	-2.810266E-7
67.449997	-4.164176E-7
67.455002	-4.544854E-7
67.459999	-2.937159E-7
67.470001	-5.221227E-7
67.474998	-4.459871E-7
67.480003	-3.698515E-7
67.485001	-3.614696E-7
67.489998	-3.107125E-7
67.500000	-1.796288E-7
67.504997	-4.332978E-7
67.510002	-3.064051E-7
67.514999	-2.302695E-7
67.519997	-3.698515E-7
67.529999	-3.741588E-7
67.535004	-3.107125E-7
67.540001	-4.459871E-7
67.544998	-4.671747E-7
67.550003	-3.741588E-7
67.559998	-6.024493E-7
67.565002	-4.544854E-7
67.570000	-3.741588E-7
67.574997	-3.149034E-7
67.580002	-3.360910E-7
67.589996	-1.711305E-7
67.595001	-5.273614E-8
67.599998	-2.980232E-7
67.605003	-3.571622E-7
67.610001	-2.345769E-7
67.620003	-3.656605E-7
67.625000	-1.542503E-7
67.629997	-3.614696E-7
67.635002	-2.980232E-7
67.639999	-5.306210E-7
67.650002	-5.813781E-7
67.654999	-4.122267E-7
67.660004	-3.868481E-7
67.665001	-5.010515E-7
67.669998	-2.853340E-7
67.680000	-2.556480E-7
67.684998	-1.838198E-7
67.690002	-2.429588E-7
67.695000	-2.514571E-7
67.699997	-1.669396E-7
67.709999	-2.853340E-7
67.714996	-2.726447E-7
67.720001	-5.094334E-7
67.724998	-3.656605E-7
67.730003	-4.037283E-7
67.739998	-4.925532E-7
67.745003	-3.868481E-7
67.750000	-4.164176E-7
67.754997	-2.853340E-7
67.760002	-2.937159E-7
67.769997	-4.586764E-7
67.775002	-1.711305E-7
67.779999	-2.218876E-7
67.785004	-2.514571E-7
67.790001	-1.796288E-7
67.800003	-3.360910E-7
67.805000	-3.529713E-7
67.809998	-5.306210E-7
67.815002	-5.643815E-7
67.820000	-4.586764E-7
67.830002	-3.783498E-7
67.834999	-4.037283E-7
67.839996	-5.179318E-7
67.845001	-3.741588E-7
67.849998	-4.671747E-7
67.860001	-1.923181E-7
67.864998	-2.345769E-7
67.870003	-2.556480E-7
67.875000	-1.711305E-7
67.879997	-2.683373E-7
67.889999	-2.091983E-7
67.894997	-2.895249E-7
67.900002	-1.669396E-7
67.904999	-3.698515E-7
67.910004	-5.475013E-7
